Заказчик;Лоты;Сумма, планируемая для закупки, тенге;Способ;Статус;Код закупки;Наименование;Дата начала;Дата окончания;link
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;5 625 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433288;Вывоз и утилизация загрязненной серы с территории ЖНГК;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433288
"Акционерное общество ""СНПС-Актобемунайгаз""";3.0;2 478 488.40;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433259;Противопожарное оборудование;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433259
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;88 970 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433237;Спуск ГНКТ для стационарной подачи газа на скважинах м/р Кенкияк-подсолевое на 2025 год;16.04.2025 09:00:00;19.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433237
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;204 152 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433238;Спуск противопесочного фильтра с закачкой кварцевого песка (пропанта) на 8 вертикальных скважин м/р Кенкияк – надсолевое;16.04.2025 09:00:00;19.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433238
"Акционерное общество ""СНПС-Актобемунайгаз""";12.0;29 791 450.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433198;Запорная арматура для остановочного капитального ремонта ГПЗ;15.04.2025 09:00:00;29.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433198
"Акционерное общество ""СНПС-Актобемунайгаз""";2.0;77 002 920.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433207;Услуги по очистке АВО, скрубберов на м/р Жанажол на 2025 год;15.04.2025 09:00:00;29.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433207
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;1 000 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433200;Вывоз и утилизация отработанных мембран Kristal 2000 и мембран обратного осмоса FILMTEK;15.04.2025 09:00:00;29.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433200
"Акционерное общество ""СНПС-Актобемунайгаз""";15.0;887 879 102.60;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433197;Запасные части Ariel, САТ, WAUKESHA;15.04.2025 09:00:00;16.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433197
"Акционерное общество ""СНПС-Актобемунайгаз""";3.0;449 080 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433186;Ликвидация пробки внутри НКТ на скважинах м/р Жанажол, Северная Трува, Кенкияк-подсолевой с помощью ГНКТ;15.04.2025 09:00:00;16.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433186
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;2 246 400.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433162;Прожектор взрывозащищенный;15.04.2025 09:00:00;29.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433162
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;1 900 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433149;Теплотехнические испытания котлов с выдачей режимной карты на объектах ОНГДУ;15.04.2025 09:00:00;29.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433149
"Акционерное общество ""СНПС-Актобемунайгаз""";2.0;234 346 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433033;Оказание технических услуг по проведению расширенного комплекса ГДИ модульным испытателем пластов MDT на участке Терескен-1, Терескен-2.;12.04.2025 09:00:00;15.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433033
"Акционерное общество ""СНПС-Актобемунайгаз""";7.0;5 188 646.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-432770;Масла, торм.жидк, электролит.;11.04.2025 09:00:00;02.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/432770
"Акционерное общество ""СНПС-Актобемунайгаз""";19.0;24 542 652.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-432859;запчасти к насосам ЦНС, стропы 19лотов с ОТП;11.04.2025 09:00:00;02.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/432859
"Акционерное общество ""СНПС-Актобемунайгаз""";12.0;3 805 699.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-432808;Стальные детали трубопровода (остановочный ремонт);10.04.2025 09:00:00;29.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/432808
"Акционерное общество ""СНПС-Актобемунайгаз""";2.0;352 436 217.86;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-432775;Замена и футерования нефтегазосборного трубопровода тр 426*12,7мм от КС СТ до ЗПН-4 на м/р Жанажол 1,3км+2км=3,3км;10.04.2025 15:05:00;13.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/432775
"Акционерное общество ""СНПС-Актобемунайгаз""";14.0;2 042 990.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-432650;запчасти компрессора КВ 10/10П, зч к ЖД транспорту;09.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/432650
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;727 996 744.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-432641;Теплообменник предохладителя сырьевого газа c холодильной камерой BCH-H-4500/7.6. Е-1401 на УПЛУ 2-ой очереди ГПЗ-2;09.04.2025 09:00:00;12.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/432641
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;260 624 227.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-432639;ГИС при бурении, ГИС с применением специальных методов, ГИС при КРС, интерпретация и перфорация на месторождении Северная Трува;09.04.2025 09:00:00;12.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/432639
"Акционерное общество ""СНПС-Актобемунайгаз""";2.0;139 500 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-432200;Планово предупредительные работы шаровых кранов отсекателей ORBIT на объекте УОГ ГЛКС.;04.04.2025 09:00:00;05.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/432200
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;143 553 960.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-431986;Оказание технических услуг по гидродинамическому исследованию скважин на месторождении Северная Трува;01.04.2025 09:00:00;29.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/431986
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;117 173 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-431957;Оказание технических услуг по проведению расширенного комплекса ГДИ модульным испытателем пластов MDT на месторождений Северная Трува;01.04.2025 09:00:00;29.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/431957
;;;;;;;;;https://www.reestr.nadloc.kz/ru/tender/List?p=1&s=20&flt_by_status=65&flt_cust=sn-ak7d&flt_by_type=0
;;;;;;;;;https://www.reestr.nadloc.kz/ru/tender/List?p=2&s=100&flt_cust=sn-ak7d&flt_code=&flt_name=&flt_by_status=65
